Country,GDP,CEX,pop_density,urbanization,gini,IDV,IND,LTO,MAS,PDI,UAI
Tajikistan,3000.00,2056.00,60.00,26.5,30.8,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Turkmenistan,17300.00,832.00,11.00,48.7,40.8,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
East Timor,4200.00,1334.00,71.00,28.3,31.6,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Trinidad and Tobago,31900.00,14246.00,258.00,13.7,40.3,16,80,13,58,47,55
Tunisia,11700.00,5690.00,66.00,66.3,35.8,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Turkey,21100.00,10820.00,102.00,73.4,40.2,37,49,46,45,66,85
Taiwan,47800.00,24663.47,650.00,78,33.8,17,49,93,45,58,69
Tanzania,3100.00,1331.00,62.00,26.7,37.8,25,38,34,40,70,50
Uganda,2100.00,1069.00,153.00,16.1,42.4,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Ukraine,8200.00,6038.00,74.00,68.9,24.6,25,18,55,27,92,95
Uruguay,21600.00,12675.00,19.00,95.3,41.6,36,53,26,38,61,99
United States of America,57300.00,35138.00,33.02,82.4,41.1,91,68,26,62,40,46
Uzbekistan,6500.00,2275.00,69.00,36.2,36.7,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Venezuela,15100.00,9510.00,32.00,89,46.9,12,100,16,73,81,76
Vietnam,6400.00,3064.00,280.00,31,38.9,20,35,57,40,70,30
Vanuatu,2600.00,1545.00,22.00,24.9,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Yemen,2500.00,#N/A,54.00,32.3,37.7,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
South Africa,13200.00,7084.00,43.00,62,63.4,65,63,34,63,49,49
Zambia,3900.00,#N/A,17.00,39.2,55.6,35,42,30,40,60,50
Zimbabwe,2000.00,1794.00,33.00,38.6,50.1,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
